country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
Afghanistan,Amphetamine use disorders,0.9754872918128968,0.3930931687355041,0.3002642095088959,0.010593647,0.003780691,0.1129319965839386,1.7401282787322998,44.61658859,4461.658859,Amphetamine
Albania,Amphetamine use disorders,0.5519244074821472,0.7207273244857788,0.1867636889219284,0.006435971,0.005624088,0.068222612,1.4561891555786133,15.754352569580078,1575.4352569580078,Amphetamine
Algeria,Amphetamine use disorders,0.9346472024917604,0.4025045335292816,0.3192387223243713,0.005049559,0.003942523,0.1157318577170372,1.733325719833374,23.44144058227539,2344.144058227539,Amphetamine
American_Samoa,Amphetamine use disorders,0.5679662823677063,0.7127429842948914,0.1847504377365112,0.005067118,0.005506573,0.066731401,1.543893814086914,25.512500762939453,2551.2500762939453,Amphetamine
Andorra,Amphetamine use disorders,0.5552041530609131,0.7220256328582764,0.195160761,0.0059045,0.004554871,0.069232389,1.4677948951721191,10.26941204071045,1026.941204071045,Amphetamine
Angola,Amphetamine use disorders,0.9567801356315612,0.4000249207019806,0.3070828318595886,0.013762882,0.003555026,0.1123281195759773,1.735437273979187,44.78838348388672,4478.838348388672,Amphetamine
Antigua_and_Barbuda,Amphetamine use disorders,0.5856400728225708,0.7230818271636963,0.1883851587772369,0.006499912,0.006124714,0.069060132,2.008089542388916,15.657058715820312,1565.7058715820312,Amphetamine
Argentina,Amphetamine use disorders,0.5760565400123596,0.728060782,0.1889032125473022,0.007722559,0.005856884,0.068363957,2.0190911293029785,17.917530059814453,1791.7530059814453,Amphetamine
Armenia,Amphetamine use disorders,0.5549061298370361,0.720941424,0.1918582022190094,0.009206736,0.00543597,0.06906534,1.4790524244308472,14.52055835723877,1452.055835723877,Amphetamine
Australia,Amphetamine use disorders,0.8918055295944214,0.7048224210739136,0.1878425180912017,0.006736794,0.002029027,0.063672908,1.641336441040039,13.228617668151855,1322.8617668151855,Amphetamine
Austria,Amphetamine use disorders,0.5564984083175659,0.7128967046737671,0.2002799957990646,0.009681941,0.005255764,0.071510561,1.453723430633545,9.953117370605469,995.3117370605468,Amphetamine
Azerbaijan,Amphetamine use disorders,0.5603857040405273,0.7190120220184326,0.1905404329299926,0.00762197,0.005481126,0.067382462,1.4639310836791992,18.102970123291016,1810.2970123291016,Amphetamine
Bahamas,Amphetamine use disorders,0.5898704528808594,0.7201731204986572,0.1878140419721603,0.007293118,0.005988932,0.069791108,1.9953606128692627,16.07561683654785,1607.5616836547852,Amphetamine
