cause_name,location_name,mean_death_rate_per_100k
Amphetamine use disorders,United States of America,0.667782592
Amphetamine use disorders,Canada,0.32344650932141916
Amphetamine use disorders,Russian Federation,0.28231699974557456
Amphetamine use disorders,Estonia,0.26993098244045016
Amphetamine use disorders,Sweden,0.24092394021162533
Amphetamine use disorders,Finland,0.22658102317243112
Amphetamine use disorders,China,0.2170905362775489
Amphetamine use disorders,Norway,0.2154957078867691
Amphetamine use disorders,Iceland,0.21184668366328055
Amphetamine use disorders,Denmark,0.2042711931983005
Cocaine use disorders,United States of America,1.2880528809764231
Cocaine use disorders,Bermuda,0.8711091012573108
Cocaine use disorders,Canada,0.7014518531834368
Cocaine use disorders,Guatemala,0.48794850626775893
Cocaine use disorders,Grenada,0.40150737331863884
Cocaine use disorders,Honduras,0.32158861903038277
Cocaine use disorders,Russian Federation,0.3091806790988939
Cocaine use disorders,Antigua and Barbuda,0.2663261193673585
Cocaine use disorders,Iran (Islamic Republic of),0.2557723160175899
Cocaine use disorders,Denmark,0.2541313124705004
Opioid use disorders,United States of America,8.136341148105728
Opioid use disorders,Norway,4.618924609228347
Opioid use disorders,Canada,4.372130272751148
Opioid use disorders,Russian Federation,4.305466271966871
Opioid use disorders,Estonia,4.188579370470144
Opioid use disorders,Finland,3.4109159376994773
Opioid use disorders,Denmark,3.028684532828621
Opioid use disorders,Belarus,2.988587568965685
Opioid use disorders,United Kingdom,2.986731649227087
Opioid use disorders,Iran (Islamic Republic of),2.8937186012718747
Other drug use disorders,Australia,2.083471158080559
Other drug use disorders,New Zealand,0.7591713690870824
Other drug use disorders,United States of America,0.7406223994418483
Other drug use disorders,Denmark,0.6723267207496707
Other drug use disorders,Iceland,0.6334066583482485
Other drug use disorders,Ireland,0.6304316370984429
Other drug use disorders,Finland,0.6151281689222592
Other drug use disorders,United Kingdom,0.587084397
Other drug use disorders,Norway,0.5296777502689729
Other drug use disorders,Sweden,0.4869498278383234
